category,mean,desv
Active Life,4.096916299559472,0.97064364269280778
American (New),3.3333333333333335,1.699673171197595
American (Traditional),3.0,2.0
Amusement Parks,4.0807174887892375,0.97167758682778604
Arts & Entertainment,4.066079295154185,0.98894508511720536
Asian Fusion,3.3333333333333335,0.47140452079103168
Auto Repair,4.0,0.0
Automotive,4.0,0.0
Bakeries,4.0,1.0
Barbeque,5.0,0.0
Bars,3.25,1.1989578808281798
Beauty & Spas,3.272727272727273,1.2856486930664501
Beer,4.4,0.79999999999999993
Breakfast & Brunch,2.25,0.82915619758884995
Breweries,4.125,0.92702481088695787
Burgers,3.2,1.3266499161421601
Cajun/Creole,3.0,0.0
Casinos,2.4285714285714284,1.498298354528788
Chicken Wings,5.0,0.0
Chinese,3.5,0.5
Cupcakes,5.0,0.0
Custom Cakes,5.0,0.0
Day Spas,2.0,0.0
Delis,2.6666666666666665,1.699673171197595
Dentists,1.0,0.0
Desserts,4.0,1.0
Diners,3.0,0.0
Drugstores,3.6666666666666665,1.247219128924647
Escape Games,5.0,0.0
Event Planning & Services,1.3333333333333333,0.47140452079103168
Fast Food,3.25,0.4330127018922193
Flowers & Gifts,3.6666666666666665,1.247219128924647
Food,3.6538461538461537,1.2385570913926629
French,4.0,1.0690449676496976
Furniture Stores,4.75,0.4330127018922193
General Dentistry,1.0,0.0
Gluten-Free,4.0,1.0
Grocery,3.888888888888889,1.1967032904743342
Hair Removal,1.5,0.5
Hair Salons,3.375,1.2183492931011204
Hair Stylists,1.0,0.0
Health & Medical,1.5,0.5
Home & Garden,4.75,0.4330127018922193
Home Decor,4.75,0.4330127018922193
Hot Dogs,3.3333333333333335,1.699673171197595
Hotels & Travel,1.3333333333333333,0.47140452079103168
Hotels,1.3333333333333333,0.47140452079103168
Ice Cream & Frozen Yogurt,4.0,0.0
Italian,3.888888888888889,1.3698697784375502
Japanese,3.5555555555555554,0.8314794192830981
Juice Bars & Smoothies,4.0,0.0
Korean,5.0,0.0
Latin American,3.0,0.0
Lounges,3.0,1.0690449676496976
Massage Therapy,2.0,0.0
Massage,2.0,0.0
Mexican,3.0,1.6329931618554521
Modern European,4.0,1.0690449676496976
Nail Salons,4.0,0.57735026918962573
Nightlife,3.25,1.1989578808281798
Noodles,3.5,0.5
Oil Change Stations,4.0,0.0
Patisserie/Cake Shop,5.0,0.0
Pizza,3.1666666666666665,1.5184055965240495
Professional Services,3.0,0.0
Psychics & Astrologers,4.118181818181818,0.9217751469244565
Ramen,4.0,0.0
Restaurants,3.4680851063829787,1.2351425764851056
Salad,5.0,0.0
Sandwiches,3.875,1.4523687548277813
Seafood,3.0,0.0
Shopping,4.285714285714286,1.0301575072754257
Skin Care,3.5,1.0
Specialty Food,3.6666666666666665,0.94280904158206336
Steakhouses,3.3333333333333335,0.74535599249992979
Sushi Bars,3.5714285714285716,0.90350790290525129
Tacos,3.0,0.0
Tanning,3.5,1.5
Tires,4.0,0.0
Vegan,5.0,0.0
Vegetarian,5.0,0.0
Waxing,1.5,0.5
Wine & Spirits,4.4,0.79999999999999993
Wine Bars,1.0,0.0
